Influence_ID,Category,Name,Elements_To_Use,Elements_To_Avoid,Adaptation_Notes,Used_In_Prompts,Status
72,Acoustic Instruments,Japanese Koto (Traditional Strings),"Pentatonic scales, gentle plucked textures, nature imagery (water, wind), meditative pacing, minimal sustain","Traditional melodies that demand attention, fast virtuosic passages, ceremonial drama","Koto creates gentle, pentatonic soundscapes perfect for theta states. Use as ambient texture layer, not traditional melodic instrument. Modern ambient koto (like ""Koto Dream"" albums) shows programming-appropriate applications. Pairs well with electronic elements.",,Unexplored
73,Genre Influences,Anime Soundtracks (Ambient Tracks),"Emotional piano, string pads, gentle electronics, wistful melodies, nostalgic atmosphere","Dramatic battle themes, opening/closing songs, recognizable anime themes, J-pop vocals","Anime soundtracks (Miyazaki films, slice-of-life shows) contain beautiful ambient pieces designed to enhance focus without distraction. Use the gentle piano interludes and string atmospheres from Studio Ghibli soundtracks (Joe Hisaishi). ""Lo-Fi Japan"" aesthetic often samples anime.",,Unexplored
74,Genre Influences,Ryuichi Sakamoto (Ambient Works),"Minimal piano, electronic textures, silence as element, emotional restraint, contemplative pacing","Early Yellow Magic Orchestra pop, dramatic film scores, experimental noise periods","Sakamoto's solo ambient works (async, 12, Coda) are perfect programming music - minimal piano with electronic processing, lots of space, deeply contemplative. Use his restrained, meditative approach, not his pop or avant-garde work.",,Unexplored
75,Rhythmic Elements,Indian Tabla (Rhythmic Foundation),"Gentle rhythmic cycles (slow tala), warm tuned drum tones, subtle polyrhythms, meditative pulse","Fast virtuosic solos, loud aggressive playing, complex ragas demanding attention","Tabla can provide gentle, tuned percussion rhythms. Use slow tala (rhythmic cycles) as foundation, not foreground solos. Works beautifully with electronic music (Talvin Singh, Asian Dub Foundation ambient tracks). The warm, tuned quality bridges rhythm and melody.",,Unexplored
76,Acoustic Instruments,Bansuri Flute (Indian Bamboo Flute),"Breathy tone, long sustained notes, simple melodies, meditative quality, nature sounds","Complex raga improvisation, virtuosic runs, classical Indian performance practice","Bansuri has an incredibly soothing, breathy quality perfect for ambient music. Use simple, sustained tones and gentle melodies - not traditional raga performance. Artists like Steve Gorn show bansuri in contemplative contexts. The breathy quality creates intimate, meditative atmosphere.",,Unexplored
77,Genre Influences,Ravi Shankar (Ambient/Minimalist Works Only),"Sitar drone (tanpura), slow alap (introductory improvisation), meditative pacing, spiritual atmosphere","Fast jhala sections, virtuosic display, traditional raga development, tabla solo exchanges","CRITICAL: Only use Shankar's slow, meditative alap sections where sitar explores a raga with drone accompaniment. Avoid the fast, exciting sections. His collaborations with Philip Glass and minimalist works show ambient applications. The drone and slow exploration create deep focus states.",,Unexplored
78,Acoustic Instruments,Nay (Middle Eastern Flute),"Breathy tone, mystical quality, long sustained notes, maqam flavors, meditative pacing","Traditional maqam melodies, virtuosic ornaments, belly dance music, dramatic dynamics","Nay has an incredibly mystical, breathy quality - similar to bansuri but with Middle Eastern character. Use for ambient textures and sustained tones. Creates spiritual, meditative atmosphere without being overly ""world music"" cliché.",,Unexplored
79,Acoustic Instruments,Mbira (Zimbabwean Thumb Piano),"Hypnotic repetitive patterns, metallic shimmer, polyrhythmic layers, trance-inducing cycles","Traditional ceremonial contexts, loud aggressive playing, vocals","Mbira creates mesmerizing, cyclical patterns perfect for flow states. Different from kalimba (which you already have) - more metallic, more polyrhythmic. Zimbabwe's mbira music is designed to induce trance. Use the hypnotic patterns, not traditional ceremonial contexts.",,Unexplored
80,Acoustic Instruments,Andean Panpipes (Zampoña),"Airy flute textures, pentatonic scales, nature imagery (mountains, wind), gentle melodies","El Condor Pasa clichés, tourist music, overly recognizable melodies","Andean panpipes create gentle, airy textures with natural, organic quality. Use for ambient atmosphere, not traditional folk melodies. The breathy, multi-pipe sound creates ethereal quality. Modern ambient applications (like Inkuyo's contemplative work) show programming potential.",,Unexplored
81,Acoustic Instruments,Fingerstyle Guitar (Jorma Kaukonen/Leo Kottke),"Spanish/flamenco-influenced arpeggios, melodic patterns, open tunings, repetitive hypnotic fingerpicking, nylon or steel strings as texture","Strumming, power chords, rock riffs, constant melodic development demanding attention, virtuosic showpieces","Fingerstyle guitar (Jorma Kaukonen's ""Embryonic Journey,"" Leo Kottke's ""Vaseline Machine Gun"") creates intricate patterns that can work as EITHER foreground or background. Key: use repetitive patterns rather than constantly developing melodies. Works beautifully solo (pure single-influence) or layered with minimal percussion/pads. The Spanish/flamenco influences add exotic color without being traditional flamenco. For programming music: keep patterns hypnotic and consistent, avoid flashy runs that demand attention.",,Unexplored
82,Genre Influences,Psychedelic Folk Instrumentals (1960s),"Acoustic instrumentation, Spanish influences, open tunings, modal harmony, instrumental focus, vintage recording warmth","Protest song vocals, traditional folk melodies, political lyrics, dramatic builds, acid-rock excess","The psychedelic folk era (Jefferson Airplane instrumentals, early Grateful Dead, Pentangle) created beautiful instrumental pieces that blended folk purity with 1960s experimentation. ""Embryonic Journey"" is the quintessential example - solo acoustic guitar with Spanish influences, no vocals, hypnotic patterns. For programming: extract the instrumental focus and modal harmony, use vintage production warmth (tape saturation), avoid the vocal-driven protest songs. Works as pure acoustic or with subtle electronic foundation.",,Unexplored
83,Acoustic Instruments,Spanish/Flamenco Guitar (Texture Only),"Rasgueado textures (as background rhythm), melodic arpeggios, passionate tone but restrained dynamics, nylon string warmth, modal scales","Traditional flamenco performance (too demanding), castanets, palmas (hand clapping), cante jondo vocals, virtuosic solos","CRITICAL: Use Spanish/flamenco TECHNIQUES and AESTHETIC, not traditional flamenco music. Traditional flamenco demands attention through dramatic dynamics and virtuosity. Instead: extract the rasgueado rhythm as gentle texture, use modal scales for exotic color, apply passionate tone with restrained volume. Think ""Spanish guitar influence"" not ""flamenco performance."" Works beautifully layered with electronic elements (flamenco house fusion) or pure acoustic. Artists like Paco de Lucía's contemplative pieces show flamenco guitar in meditative contexts.",,Unexplored
84,Genre Influences,British Folk-Rock (George Harrison/Beatles Acoustic),"Bright major key acoustic guitar with capo, melodic arpeggios, optimistic mood, Abbey Road production warmth, clean vintage 1960s sound, sunshine aesthetic, uplifting without being cheesy","Recognizable Beatles melodies (copyright + demands attention), vocal harmonies, ""na na na"" hooks, overly sentimental production, psychedelic excess (sitars, backwards tapes)","""Here Comes the Sun"" represents optimistic acoustic folk-rock perfect for Morning Warmup or Midday Refresh - bright major key guitar creates sunshine energy without being aggressive. Key: Use the FEEL (optimistic, uplifting, bright) not the specific melody. Capo-ed acoustic guitar, clean production, melodic but not memorable (avoid earworms). Works beautifully solo or with gentle percussion/strings. The major key brightness provides energizing uplift different from minor-key meditation or modal jazz.",,Unexplored
85,Genre Influences,90s R&B/Hip-Hop Production (Timbaland/Neptunes),"Smooth programmed drums, sub bass foundation, minimal spacious arrangement, syncopated rhythms, confident swagger, clean modern production, bass-heavy groove, R&B smoothness","Aggressive vocals, rap verses demanding attention, club anthem energy, overly busy arrangements, harsh digital sounds","""No Scrubs"" by TLC epitomizes this aesthetic - smooth, minimal, bass-heavy groove with confident swagger. Timbaland and The Neptunes created polished R&B/hip-hop production perfect for background: programmed drums (not live), sub bass that grounds you physically, spacious minimal arrangements. Key: Extract the GROOVE and PRODUCTION aesthetic, not vocals. Use syncopated rhythms (not straight four-on-floor), clean digital production (not vintage warmth), confident pocket. Works beautifully for Deep Focus Block 2 - the bass weight and minimal swagger provide sustained energy without aggression. Instrumental versions only.",,Unexplored
86,Genre Influences,Classic Hip-Hop Production (J Dilla/Pete Rock),"Boom bap drums, jazz/soul samples, head-nodding groove, swing quantization, dusty vinyl texture, warm analog production, confident pocket, off-kilter timing (J Dilla feel)","Rap vocals, scratching (too foreground), aggressive battle rap energy, overly complex sampling, recognizable samples demanding attention","J Dilla, Pete Rock, and DJ Premier created the golden age hip-hop sound - boom bap drums with jazz/soul samples, swing quantization for human feel, confident head-nodding pocket. The ""Dilla feel"" (slightly off-grid timing) creates hypnotic groove perfect for programming. Key: Use instrumental hip-hop aesthetic - the drums, bass, and sample textures without vocals. Warm analog production (not clean digital), vinyl crackle, dusty warmth. Works for Morning Warmup or Deep Focus Block 1 - the swing and jazz samples provide sophisticated groove. Think Nujabes, DJ Shadow instrumental work.",,Unexplored
87,Genre Influences,Euphoric Dance/Pop (Empowerment Anthems),"Uplifting major key progressions, piano house stabs, four-on-floor drive, empowering energy, celebratory mood, triumphant chords, building energy without dramatic drops, joyful euphoria","Vocals (use instrumental versions), EDM drops that demand attention, cheese factor, overly commercial production, aggressive club energy, recognizable pop hooks","""Finally"" by CeCe Peniston, ""Titanium"" by David Guetta, and classic house anthems represent euphoric, empowering energy missing from the library. This fills the gap between meditative calm and aggressive energy - music that actively LIFTS mood and energy. Use for Midday Refresh when you need emotional/energy boost, or Morning Warmup for empowering start. Key: Extract the FEELING (euphoric, triumphant, empowering) not the vocals. Piano house stabs, uplifting chord progressions, major key celebration. Build energy gradually without dramatic drops. Think instrumental house anthems, dance-pop production without the pop vocals. The euphoria should be sustained and hypnotic, not attention-demanding. Different from deep house (too minimal) or tropical house (too laid-back) - this is celebratory and empowering.",,Unexplored
